Island,Weight,Length,Sex
Chirpoev,15.5,93,M
Chirpoev,29,106,F
Chirpoev,35.5,112,M
Chirpoev,32,107,M
Chirpoev,32,105,M
Chirpoev,33.5,111,M
Chirpoev,38,116,M
Chirpoev,31.5,108,M
Chirpoev,26,101,F
Chirpoev,38,116,M
Chirpoev,21.5,102,F
Chirpoev,31.5,108,F
Chirpoev,35,114,M
Chirpoev,37.5,110,M
Chirpoev,29.5,105,F
Chirpoev,43.5,116,M
Chirpoev,27,100,F
Chirpoev,28.5,110,F
Chirpoev,41.5,117,M
Chirpoev,36.5,112,F
Chirpoev,31,108,M
Chirpoev,31,107,M
Chirpoev,38.5,118,M
Chirpoev,35.5,112,M
Chirpoev,27,105,F
Chirpoev,44.5,114,M
Chirpoev,23,97,F
Chirpoev,35.5,115,F
Chirpoev,29,105,F
Chirpoev,22,103,F
Chirpoev,31.5,107,F
Chirpoev,40,115,M
Chirpoev,29,108,M
Chirpoev,40,115,M
Chirpoev,40,117,M
Chirpoev,40,121,M
Chirpoev,40,120,M
Chirpoev,32.5,115,F
Chirpoev,32,115,F
Chirpoev,28.5,100,F
Chirpoev,31.5,109,M
Chirpoev,44,115,M
Chirpoev,25.5,104,F
Chirpoev,24,103,F
Chirpoev,38.5,116,M
Chirpoev,30,110,M
Chirpoev,27,106,M
Chirpoev,28.5,110,M
Chirpoev,35.5,116,M
Chirpoev,45,120,M
Chirpoev,33.5,113,M
Chirpoev,30.5,110,F
Chirpoev,22.5,97,F
Chirpoev,28.5,108,M
Chirpoev,38.5,116,M
Chirpoev,26,105,F
Chirpoev,35.5,121,F
Chirpoev,33,111,M
Chirpoev,30.5,110,F
Chirpoev,31,107,F
Chirpoev,30,104,F
Chirpoev,37,115,M
Chirpoev,41.5,118,M
Chirpoev,31,110,M
Chirpoev,32.5,115,F
Chirpoev,29.5,105,M
Chirpoev,40,115,M
Chirpoev,36,115,M
Chirpoev,20,101,F
Chirpoev,30,110,F
Chirpoev,26,106,F
Chirpoev,28.5,108,F
Chirpoev,31,108,F
Chirpoev,31,107,F
Chirpoev,36,114,M
Chirpoev,33.5,116,M
Chirpoev,28.5,104,F
Chirpoev,23,98,F
Chirpoev,26.5,106,M
Chirpoev,34.5,115,F
Chirpoev,27,105,M
Chirpoev,34.5,110,F
Chirpoev,33,116,M
Chirpoev,39,119,M
Chirpoev,43,119,M
Chirpoev,27,104,F
Chirpoev,37.5,114,M
Chirpoev,31,113,M
Chirpoev,34.5,113,M
Chirpoev,28.5,110,F
Chirpoev,32,111,M
Chirpoev,24,103,F
Chirpoev,42.5,120,M
Chirpoev,32.5,112,F
Chirpoev,31.5,111,F
Chirpoev,26.5,106,F
Chirpoev,40.5,118,M
Chirpoev,26.5,100,M
Chirpoev,26.5,101,M
Srednova,31.5,110,M
Srednova,30,106,M
Srednova,27,100,M
Srednova,39.5,116,M
Srednova,27,105,F
Srednova,25.5,102,F
Srednova,28.5,105,F
Srednova,33,108,F
Srednova,32.5,113,M
Srednova,25.5,104,F
Srednova,28,107,F
Srednova,27.5,107,F
Srednova,42,115,M
Srednova,28.5,106,F
Srednova,30.5,104,M
Srednova,32.5,108,F
Srednova,39.5,114,M
Srednova,34,111,M
Srednova,34.5,112,F
Srednova,36,113,M
Srednova,28,103,M
Srednova,30,108,F
Srednova,34,111,F
Srednova,25,97,F
Srednova,30,105,F
Srednova,34.5,110,F
Srednova,39,111,M
Srednova,29,102,F
Srednova,42.5,115,M
Srednova,38,116,M
Srednova,33.5,112,M
Srednova,33.5,106,F
Srednova,40,118,M
Srednova,41.5,114,M
Srednova,38.5,113,M
Srednova,37,114,M
Srednova,28,106,F
Srednova,30,105,F
Srednova,30.5,104,F
Srednova,26,100,F
Srednova,37.5,113,M
Srednova,33,110,M
Srednova,41.5,117,M
Srednova,41.5,113,M
Srednova,39.5,118,M
Srednova,45.5,121,M
Srednova,37,112,M
Srednova,43.5,120,M
Srednova,29,104,F
Srednova,32,108,F
Srednova,42,114,M
Srednova,23.5,94,F
Srednova,47.5,121,M
Srednova,30.5,106,M
Srednova,25,105,F
Srednova,32.5,106,F
Srednova,29.5,101,F
Srednova,29,107,M
Srednova,27,103,F
Srednova,30,103,F
Srednova,30,106,F
Srednova,42,121,M
Srednova,22.5,96,F
Srednova,32,110,M
Srednova,34,108,F
Srednova,39,112,M
Srednova,28,102,M
Srednova,36,110,M
Srednova,33.5,109,M
Srednova,33.5,111,F
Srednova,40,117,M
Srednova,30.5,102,F
Srednova,25,101,F
Srednova,37,115,M
Srednova,32,104,M
Srednova,36,112,M
Srednova,26.5,103,M
Srednova,34,106,M
Srednova,26,105,F
Srednova,25.5,107,F
Srednova,27,101,F
Srednova,35.5,110,M
Srednova,24,101,F
Srednova,35,116,F
Srednova,37,110,M
Srednova,24.5,102,F
Srednova,25.5,99,F
Srednova,34,107,M
Srednova,28,101,M
Srednova,22.5,101,F
Srednova,32,108,M
Srednova,40.5,118,M
Srednova,33,108,M
Srednova,38,112,M
Srednova,39,120,M
Srednova,37.5,111,M
Srednova,30,106,F
Srednova,33,108,F
Srednova,33,115,F
Lovushki,26.5,110,F
Lovushki,44,125,M
Lovushki,37,110,F
Lovushki,31,111,M
Lovushki,27,106,F
Lovushki,38,114,M
Lovushki,41.5,117,M
Lovushki,33,109,M
Lovushki,31,108,M
Lovushki,32.5,110,M
Lovushki,30,107,F
Lovushki,42.5,115,M
Lovushki,31,110,M
Lovushki,35,109,F
Lovushki,37,111,M
Lovushki,42,115,M
Lovushki,29.5,108,F
Lovushki,31,110,F
Lovushki,32.5,106,M
Lovushki,36.5,114,F
Lovushki,44,121,M
Lovushki,42,119,M
Lovushki,31,107,M
Lovushki,24,106,M
Lovushki,23,101,M
Lovushki,28.5,108,F
Lovushki,29.5,106,M
Lovushki,45,121,M
Lovushki,31.5,109,M
Lovushki,30,106,F
Lovushki,30.5,110,F
Lovushki,28.5,104,F
Lovushki,38,121,M
Lovushki,39,116,M
Lovushki,25.5,102,F
Lovushki,28,111,M
Lovushki,33,111,F
Lovushki,34.5,110,F
Lovushki,32,106,F
Lovushki,33,108,F
Lovushki,30,109,F
Lovushki,33.5,110,F
Lovushki,40.5,126,M
Lovushki,41.5,115,M
Lovushki,34.5,111,M
Lovushki,31.5,110,M
Lovushki,28,108,F
Lovushki,32,111,F
Lovushki,42.5,120,M
Lovushki,31.5,107,F
Lovushki,39.5,114,M
Lovushki,28.5,106,F
Lovushki,35.3,111,M
Lovushki,29.2,106,F
Lovushki,26.5,102,M
Lovushki,44.4,115,M
Lovushki,33,105,F
Lovushki,31.5,106,M
Lovushki,39.2,114,M
Lovushki,20.5,96,F
Lovushki,39.1,113,M
Lovushki,39.5,116,M
Lovushki,34.6,111,F
Lovushki,30.9,110,F
Lovushki,30.2,102,F
Lovushki,33,106,M
Lovushki,40.7,115,M
Lovushki,31.6,109,F
Lovushki,34.8,110,F
Lovushki,39.2,117,M
Lovushki,31,106,F
Lovushki,29.5,105,F
Lovushki,36,114,M
Lovushki,25.1,100,F
Lovushki,32.6,106,F
Lovushki,32.5,110,M
Lovushki,29.5,101,F
Lovushki,31.8,108,F
Lovushki,30,106,F
Lovushki,24.6,98,F
Lovushki,20.3,97,M
Lovushki,28.8,102,M
Lovushki,42.4,121,M
Lovushki,41.6,117,M
Lovushki,23.7,96,F
Lovushki,33.5,108,F
Lovushki,38,110,M
Lovushki,39.4,111,M
Lovushki,33.1,107,M
Lovushki,29.5,102,F
Lovushki,32.6,108,F
Lovushki,31.5,107,F
Lovushki,24,99,F
Lovushki,36.8,113,F
Lovushki,32.7,105,F
Lovushki,31.4,106,F
Lovushki,40,114,M
Lovushki,32.8,107,F
Lovushki,37.8,112,M
Lovushki,28.3,103,F
Raykoke,38.5,112,M
Raykoke,33.5,112,M
Raykoke,27,109,F
Raykoke,26,109,M
Raykoke,37.5,115,M
Raykoke,37,116,M
Raykoke,30,106,M
Raykoke,35,116,M
Raykoke,31,106,M
Raykoke,32,109,F
Raykoke,29,108,F
Raykoke,30.5,110,F
Raykoke,29.5,107,F
Raykoke,38,117,M
Raykoke,35.5,111,M
Raykoke,33,113,F
Raykoke,35.5,117,F
Raykoke,35,115,F
Raykoke,31,105,F
Raykoke,34,112,M
Raykoke,40,114,M
Raykoke,30.5,109,F
Raykoke,48.5,120,M
Raykoke,27,101,F
Raykoke,39.5,116,M
Raykoke,45,118,M
Raykoke,37.5,117,M
Raykoke,31.5,107,F
Raykoke,31,107,M
Raykoke,30,107,F
Raykoke,34.5,115,M
Raykoke,37,119,M
Raykoke,33,108,F
Raykoke,32.5,113,F
Raykoke,27,104,F
Raykoke,41,117,M
Raykoke,40,117,M
Raykoke,34.5,110,M
Raykoke,35,114,M
Raykoke,29,105,M
Raykoke,32,106,M
Raykoke,35,111,M
Raykoke,34.5,110,F
Raykoke,45,122,M
Raykoke,41.5,115,M
Raykoke,43,121,M
Raykoke,28,109,F
Raykoke,33,109,M
Raykoke,39,118,M
Raykoke,31,107,F
Raykoke,30,106,F
Raykoke,30.5,106,F
Raykoke,28.5,105,F
Raykoke,35,109,F
Raykoke,40,119,M
Raykoke,30.5,106,F
Raykoke,36,119,F
Raykoke,34,111,F
Raykoke,35,115,F
Raykoke,28.5,113,F
Raykoke,31,111,F
Raykoke,40,118,F
Raykoke,31.5,110,M
Raykoke,25.5,99,F
Raykoke,37.5,113,M
Raykoke,36.5,111,M
Raykoke,35.5,111,F
Raykoke,29.5,102,F
Raykoke,31.5,107,F
Raykoke,38,114,M
Raykoke,35,109,F
Raykoke,26.5,99,F
Raykoke,36.5,111,M
Raykoke,26,102,F
Raykoke,24,99,F
Raykoke,34,106,M
Raykoke,38,112,M
Raykoke,29.5,106,F
Raykoke,34.5,107,M
Raykoke,30.5,107,M
Raykoke,31,103,F
Raykoke,35,111,M
Raykoke,32,111,F
Raykoke,34.5,110,F
Raykoke,37,112,F
Raykoke,35,110,M
Raykoke,35.5,105,F
Raykoke,39.5,115,F
Raykoke,37.5,114,M
Raykoke,44.5,121,M
