"Species","Day","Nt","Nt1","dN","r"
"Paramecium caudatum",2,5.849283537,NA,NA,NA
"Paramecium caudatum",3,13.67289007,5.849283537,7.823606533,1.33753244880528
"Paramecium caudatum",4,NA,13.67289007,NA,NA
"Paramecium caudatum",5,35.69788045,NA,NA,NA
"Paramecium caudatum",6,73.94783955,35.69788045,38.2499591,1.071491041424
"Paramecium caudatum",7,103.8551913,73.94783955,29.90735175,0.404438478960269
"Paramecium caudatum",8,128.8565161,103.8551913,25.0013248,0.240732547762396
"Paramecium caudatum",9,160.2356183,128.8565161,31.3791022,0.243519715957927
"Paramecium caudatum",10,201.922734,160.2356183,41.6871157,0.26016135577267
"Paramecium caudatum",11,225.4494282,201.922734,23.5266942,0.116513350101529
"Paramecium caudatum",12,236.2176877,225.4494282,10.7682595,0.0477635254432639
"Paramecium caudatum",13,200.8513227,236.2176877,-35.366365,-0.149719376835641
"Paramecium caudatum",14,231.2500259,200.8513227,30.3987032,0.151349280608945
"Paramecium caudatum",15,NA,231.2500259,NA,NA
"Paramecium caudatum",16,217.9409088,NA,NA,NA
"Paramecium caudatum",17,199.7534141,217.9409088,-18.1874947,-0.083451495178862
"Paramecium caudatum",18,219.845256,199.7534141,20.0918419,0.100583221521018
"Paramecium caudatum",19,NA,219.845256,NA,NA
"Paramecium caudatum",20,NA,NA,NA,NA
"Paramecium caudatum",21,227.1176041,NA,NA,NA
"Paramecium caudatum",22,NA,227.1176041,NA,NA
"Paramecium caudatum",23,NA,NA,NA,NA
"Paramecium caudatum",24,NA,NA,NA,NA
"Paramecium caudatum",25,NA,NA,NA,NA
