"year","count","Nt","Nt1","dN","r"
1811,10.164,10.164,9.168,0.996,0.108638743455497
1821,12,12,10.164,1.836,0.180637544273908
1831,13.896,13.896,12,1.896,0.158
1841,15.914,15.914,13.896,2.018,0.145221646516983
1851,17.928,17.928,15.914,2.014,0.126555234384818
1861,20.066,20.066,17.928,2.138,0.11925479696564
1871,22.712,22.712,20.066,2.646,0.131864846008173
1881,25.974,25.974,22.712,3.262,0.143624515674533
1891,29.003,29.003,25.974,3.029,0.116616616616617
1901,32.612,32.612,29.003,3.609,0.124435403234148
1911,36.136,36.136,32.612,3.524,0.108058383417147
1921,37.932,37.932,36.136,1.796,0.0497011290679654
1931,39.988,39.988,37.932,2.056,0.0542022566698302
1941,41.748,41.748,39.988,1.76,0.0440132039611883
1951,43.815,43.815,41.748,2.067,0.0495113538373096
1961,46.196,46.196,43.815,2.381,0.0543421202784435
1971,49.152,49.152,46.196,2.956,0.0639882240886658
1981,49.634,49.634,49.152,0.481999999999999,0.00980631510416665
1991,51.099,51.099,49.634,1.465,0.0295160575412015
2001,52.085,52.085,51.099,0.986000000000004,0.0192958766316367
